image_name,label
694550745,Positive
694550746,Positive
694550747,Positive
694550748,Negative
694550749,negative
694550750,Negative
694550751,Positive
694550752,positive
694550753,Positive
694550754,Negative
694550755,Positive
694550756,positive
694550757,Negative
694550759,positive
694550761,Positive
694550762,Positive
694550766,negative
694550768,negative
694550769,Positive
694550771,Positive
694550773,Negative
694550774,Negative
694550775,Positive
694550776,Positive
694550777,Negative
694550778,Negative
694550779,Positive
694550780,Positive
694550781,Negative
694550782,Positive
694550783,Negative
694550784,Positive
694550785,positive
694550786,Positive
694550787,Positive
694550788,Positive
694550789,negative
694550790,Negative
694550791,Positive
694550792,Negative
694550793,Negative
694550794,Negative
694550795,negative
694550796,Negative
694550797,Positive
694550798,Negative
694550799,Negative
694550800,Negative
694550801,Positive
694550804,Positive
694550805,Negative
694550807,Positive
694550808,Negative
694550809,negative
694550810,Positive
694550812,Positive
694550813,positive
694550814,Positive
694550815,Negative
694550818,Positive
694550819,negative
694550820,Positive
694550821,Negative
694550822,positive
694550823,Positive
694550825,Negative
694550826,Positive
694550827,negative
694550828,negative
694550829,Negative
694550831,Positive
694550834,Positive
694550837,positive
694550839,Positive
694550841,Negative
694550842,Positive
694550843,positive
694550844,Negative
694550845,Positive
694550846,Negative
694550847,Positive
694550848,Positive
694550849,negative
694550850,Negative
694550851,Negative
694550856,Positive
694550859,Negative
694550860,Positive
694550861,Positive
694550862,Positive
694550863,Positive
694550864,Positive
694550865,Positive
694550866,Positive
694550867,Positive
694550868,Negative
694550869,negative
694550871,negative
694550872,negative
694550873,Positive
694550874,Positive
694550875,Negative
694550876,Negative
694550877,Positive
694550878,negative
694550879,Negative
694550880,negative
694550881,Positive
694550882,Positive
694550883,Positive
694550884,negative
694550885,Positive
694550886,Negative
694550887,Positive
694550888,Negative
694550889,Positive
694550890,Negative
694550891,Positive
694550892,negative
694550893,Negative
694550894,positive
694550895,negative
694550896,positive
694550897,Negative
694550898,Negative
694550899,Negative
694550900,Positive
694550901,Positive
694550902,Positive
694550903,Positive
694550904,Negative
694550905,Positive
694550906,negative
694550907,Negative
694550908,Positive
694550909,Negative
694550910,positive
694550911,Negative
694550912,Negative
694550913,Positive
694550914,Positive
694550915,Negative
694550916,Positive
694550917,Positive
694550918,Negative
694550919,Positive
694550920,positive
694550921,Negative
694550922,Negative
694550923,negative
694550924,Positive
694550925,Positive
694550926,negative
694550927,Negative
694550928,Negative
694550929,Positive
694550930,Negative
694550931,Negative
694550932,Positive
694550933,Negative
694550934,Positive
694550935,Negative
694550936,negative
694550937,Negative
694550938,Positive
694550939,Negative
694550940,Positive
694550941,Negative
694550942,Positive
694550943,Positive
694550944,Positive
694550945,Negative
694550946,Positive
694550947,Positive
694550948,Positive
694550949,Positive
694550950,Negative
694550951,Positive
694550952,Positive
694550953,negative
694550954,Negative
694550955,Positive
694550956,Positive
694550957,Positive
694550958,Positive
694550959,negative
694550960,Negative
694550961,negative
694550962,Positive
694550963,Negative
694550965,Positive
694550966,Positive
694550967,negative
694550968,Positive
694550969,Negative
694550970,negative
694550971,Positive
694550972,Positive
694550973,Positive
694550974,negative
694550975,Positive
694550976,Negative
694550977,negative
694550978,Positive
694550979,positive
694550980,negative
694550981,Negative
694550982,Positive
694550983,Positive
694550984,Negative
694550985,Positive
694550986,Negative
694550987,Negative
694550988,positive
694550989,Positive
694550990,negative
694550991,Positive
694550992,negative
694550993,Positive
694550994,Positive
694550995,Negative
694550996,Negative
694550997,Negative
694550998,Negative
694550999,Negative
694551000,Positive
694551001,Positive
694551002,Negative
694551003,negative
694551004,Negative
694551005,Positive
694551006,Positive
694551007,positive
694551008,Positive
694551009,negative
694551010,Negative
694551011,Positive
694551012,Positive
694551013,Positive
694551014,Negative
694551015,Negative
694551016,Negative
694551017,Negative
694551018,Positive
694551019,Positive
694551020,Negative
694551021,Negative
694551022,Negative
694551023,positive
694551024,Positive
694551025,negative
694551026,Negative
694551027,negative
694551028,Positive
694551029,negative
694551030,Positive
694551031,Negative
694551032,Negative
694551034,Positive
694551035,positive
694551036,Negative
694551037,negative
694551038,Negative
694551039,Positive
694551040,Negative
694551041,Positive
694551042,Negative
694551043,negative
694551044,negative
694551045,positive
694551046,Negative
694551047,Positive
694551048,Negative
694551049,Positive
694551050,Negative
694551051,positive
694551052,Positive
694551053,Negative
694551054,Positive
694551055,Negative
694551056,positive
694551057,Positive
694551058,Negative
694551059,negative
694551060,positive
694551061,positive
694551062,Positive
694551063,positive
694551064,positive
694551065,Negative
694551066,negative
694551067,Negative
694551068,negative
694551069,negative
694551070,Negative
694551071,negative
694551072,negative
694551073,Negative
694551074,Negative
694551075,negative
694551076,negative
694551077,negative
694551078,Negative
694551079,Positive
694551080,Negative
694551081,Negative
694551082,negative
694551083,Positive
694551084,Negative
694551085,positive
694551086,negative
694551087,Positive
694551088,negative
694551089,Negative
694551090,negative
694551091,negative
694551092,Positive
694551093,negative
694551094,positive
694551095,Positive
694551096,Positive
694551097,negative
694551098,Positive
694551099,Negative
694551100,Positive
694551101,negative
694551102,Negative
694551103,negative
694551104,negative
694551105,Negative
694551106,Positive
694551107,Positive
694551108,Positive
694551109,negative
694551110,negative
694551111,Negative
694551112,negative
694551113,negative
694551114,Negative
694551115,negative
694551116,Positive
694551117,Negative
694551118,Positive
694551119,positive
694551120,Positive
694551121,Negative
694551122,Positive
694551123,positive
694551124,Positive
694551125,negative
694551126,Positive
694551127,Positive
694551128,Negative
694551129,negative
694551130,Negative
694551131,Positive
694551132,Positive
694551133,Positive
694551134,Negative
694551135,Positive
694551136,Positive
694551137,Positive
694551138,positive
694551139,Negative
694551140,Negative
694551141,positive
694551142,Negative
694551143,Positive
694551144,Positive
694551145,negative
694551146,Negative
694551147,negative
694551148,Negative
694551149,Positive
694551150,Negative
694551151,Negative
694551152,Positive
694551153,Positive
694551154,Positive
694551155,Positive
694551156,Negative
694551157,Positive
694551158,negative
694551159,Positive
694551160,Positive
694551161,Positive
694551162,Positive
694551163,positive
694551164,Negative
694551165,Positive
694551166,Negative
694551167,Negative
694551168,Negative
694551169,Negative
694551170,Positive
694551171,Negative
694551172,Positive
694551173,Negative
694551174,Positive
694551175,Positive
694551176,negative
694551177,Negative
694551178,Negative
694551179,Positive
694551180,negative
694551181,Neutral
694551182,Negative
694551183,Negative
694551184,Positive
694551185,Positive
694551186,Negative
694551187,Positive
694551188,Negative
694551189,negative
694551190,negative
694551191,Positive
694551192,positive
694551193,Positive
694551194,Positive
694551195,Negative
694551196,negative
694551197,Positive
694551198,negative
694551199,Negative
694551200,negative
694551201,Positive
694551202,Positive
694551203,negative
694551204,negative
694551205,Positive
694551206,Negative
694551207,positive
694551208,positive
694551209,Positive
694551210,Negative
694551211,Positive
694551212,Negative
694551213,negative
694551214,Positive
694551215,Positive
694551216,negative
694551217,Negative
694551218,Positive
694551354,Positive
694551355,Positive
694551356,Positive
694551357,Positive
694551358,Positive
694551359,Neutral
694551360,Neutral
694551361,Positive
694551362,Neutral
694551363,Positive
694551364,Positive
694551365,Positive
694551366,Negative
694551367,Negative
694551368,Neutral
694551369,Neutral
694551370,Neutral
694551371,Neutral
694551372,Positive
694551373,Neutral
694551374,Negative
694551375,Positive
694551376,positive
694551377,Neutral
694551378,Positive
694551379,Positive
694551380,Neutral
694551381,Negative
694551382,Negative
694551383,Positive
694551384,positive
694551385,Positive
694551386,Positive
694551387,Neutral
694551388,Positive
694551389,Neutral
694551390,Neutral
694551391,Positive
694551392,Positive
694551393,Positive
694551394,Neutral
694551395,Neutral
694551396,Positive
694551397,Positive
694551398,Neutral
694551399,Positive
694551400,Neutral
694551401,Neutral
694551402,Positive
694551403,Neutral
694551404,Positive
694551405,Positive
694551406,Positive
694551407,Neutral
694551408,Positive
694551409,Positive
694551410,Positive
694551411,Positive
694551412,Positive
694551413,Positive
694551414,negative
694551415,Neutral
694551416,Positive
694551417,Neutral
694551418,Negative
694551419,Positive
694551420,Positive
694551421,Positive
694551422,Neutral
694551423,Positive
694551424,positive
694551425,Positive
694551426,Neutral
694551427,Positive
694551428,Positive
694551429,Positive
694551430,Neutral
694551431,Neutral
694551432,Neutral
694551433,Positive
694551434,Positive
694551435,Positive
694551436,Neutral
694551437,Positive
694551438,Positive
694551439,Positive
694551440,Positive
694551441,Positive
694551442,Neutral
694551443,Positive
694551444,Negative
694551445,Positive
694551446,Negative
694551447,Positive
694551448,Neutral
694551449,Neutral
694551450,Negative
694551451,Positive
694551452,Positive
694551453,Positive
694551454,Positive
694551455,positive
694551456,Positive
694551457,Positive
694551458,Neutral
694551459,Neutral
694551460,Neutral
694551461,Positive
694551462,Positive
694551463,Neutral
694551464,Positive
694551465,Negative
694551466,Neutral
694551467,Positive
694551468,Negative
694551469,negative
694551470,Neutral
694551471,Negative
694551472,Positive
694551473,Positive
694551474,Positive
694551475,Positive
694551476,Positive
694551477,Negative
694551478,Positive
694551479,Neutral
694551480,Neutral
694551481,Positive
694551482,positive
694551483,Neutral
694551484,Negative
694551485,Positive
694551486,Neutral
694551487,Positive
694551488,Positive
694551489,Negative
694551490,Neutral
694551491,Positive
694551492,positive
694551493,Positive
694551494,Positive
694551495,Neutral
694551496,positive
694551497,Positive
694551498,Neutral
694551499,Positive
694551500,Positive
694551501,Positive
694551502,Neutral
694551503,Neutral
694551504,Positive
694551505,Negative
694551506,Positive
694551507,Neutral
694551508,Positive
694551509,Negative
694551510,Positive
694551511,Positive
694551512,positive
694551513,Positive
694551514,Positive
694551515,Negative
694551516,Positive
694551517,Positive
694551518,Positive
694551519,Positive
694551520,Positive
694551521,Positive
694551522,Negative
694551523,negative
694551524,Neutral
694551525,Negative
694551526,Positive
694551527,Negative
694551528,Neutral
694551529,Positive
694551530,Positive
694551531,Positive
694551532,Neutral
694551533,Neutral
694551534,Neutral
694551535,Positive
694551536,negative
694551537,Positive
694551538,Neutral
694551539,Neutral
694551540,Negative
694551541,Neutral
694551542,Positive
694551543,Positive
694551544,Negative
694551545,Positive
694551546,Negative
694551547,Positive
694551548,Neutral
694551549,Neutral
694551550,Neutral
694551551,Neutral
694551552,Positive
694551553,Positive
694551554,Positive
694551555,Negative
694551556,Positive
694551557,Positive
694551558,Positive
694551559,Positive
694551560,Positive
694551561,Positive
694551562,Positive
694551563,Positive
694551564,Neutral
694551565,Positive
694551566,Positive
694551567,Neutral
694551568,Positive
694551569,Positive
694551570,Neutral
694551571,Positive
694551572,Neutral
694551573,Negative
694551574,Neutral
694551575,Neutral
694551576,Neutral
694551577,Neutral
694551578,Positive
694551579,Positive
694551580,Positive
694551581,Positive
694551582,Positive
694551583,Neutral
694551584,Positive
694551585,Neutral
694551586,positive
694551587,Positive
694551588,Neutral
694551589,Neutral
694551590,Positive
694551591,Neutral
694551592,Positive
694551593,Positive
694551594,Neutral
694551595,Positive
694551596,Neutral
694551597,Positive
694551598,Positive
694551599,Negative
694551600,Positive
694551601,Negative
694551602,Neutral
694551603,Positive
694551604,Negative
694551605,Neutral
694551606,Positive
694551607,Negative
694551608,Positive
694551609,Negative
694551610,Neutral
694551611,Neutral
694551612,Neutral
694551613,Neutral
694551614,Neutral
694551615,Neutral
694551616,Positive
694551617,Neutral
694551618,Positive
694551619,Neutral
694551620,Positive
694551621,Positive
694551622,Neutral
694551623,Neutral
694551624,Neutral
694551625,Positive
694551626,Neutral
694551627,Neutral
694551628,Positive
694551629,Positive
694551630,Positive
694551631,Positive
694551632,Positive
694551633,Positive
694551634,Positive
694551635,Neutral
694551636,Neutral
694551637,positive
694551638,Positive
694551639,Positive
694551640,Positive
694551641,Neutral
694551642,Neutral
694551643,Neutral
694551644,Positive
694551645,Neutral
694551646,Neutral
694551647,Positive
694551648,Neutral
694551649,Negative
694551650,Neutral
694551651,Neutral
694551652,Positive
694551653,Positive
694551654,Positive
694551655,Positive
694551656,Neutral
694551657,Positive
694551658,Negative
694551659,Positive
694551660,Positive
694551661,Positive
694551662,Positive
694551663,Positive
694551664,positive
694551665,Neutral
694551666,Neutral
694551667,Negative
694551668,Positive
694551669,Positive
694551670,Negative
694551671,Neutral
694551672,Positive
694551673,Negative
694551674,Negative
694551675,Negative
694551676,Negative
694551677,Positive
694551678,Negative
694551679,Neutral
694551680,Positive
694551681,Positive
694551682,Negative
694551683,Positive
694551684,positive
694551685,Negative
694551686,Neutral
694551687,Positive
694551688,positive
694551689,Positive
694551690,Positive
694551691,Positive
694551692,Negative
694551693,Negative
694551694,Negative
694551695,Positive
694551696,Negative
694551697,Negative
694551698,Neutral
694551699,Negative
694551700,Negative
694551701,Positive
694551702,Neutral
694551703,Positive
694551704,Neutral
694551705,Negative
694551706,Positive
694551707,Positive
694551708,Positive
694551709,positive
694551710,Positive
694551711,Positive
694551712,Positive
694551713,positive
694551714,Neutral
694551715,Positive
694551716,Positive
694551717,Positive
694551718,Positive
694551719,Positive
694551720,Positive
694551721,Neutral
694551722,Neutral
694551723,Positive
694551724,Positive
694551725,Neutral
694551726,Positive
694551727,Positive
694551728,Positive
694551729,Positive
694551730,Neutral
694551731,Positive
694551732,Neutral
694551733,Positive
694551734,Positive
694551735,Positive
694551736,Positive
694551737,Positive
694551738,Positive
694551739,Positive
694551740,Positive
694551741,Positive
694551742,Positive
694551743,Neutral
694551744,Neutral
694551745,Positive
694551746,Neutral
694551747,Negative
694551748,Neutral
694551749,Positive
694551750,Positive
694551751,Positive
694551752,Neutral
694551753,Positive
694551754,Positive
694551755,Positive
694551756,Positive
694551757,Positive
694551758,Positive
694551759,Positive
694551760,Positive
694551761,Positive
694551762,Positive
694551763,Positive
694551764,Positive
694551765,Positive
694551766,Positive
694551767,Positive
694551768,Positive
694551769,Positive
694551770,Positive
694551771,Positive
694551772,Neutral
694551773,Positive
694551774,Positive
694551775,Positive
694551776,Positive
694551777,Positive
694551778,Positive
694551779,Positive
694551780,Positive
694551781,Neutral
694551782,Positive
694551783,Positive
694551784,Positive
694551785,Positive
694551786,Positive
694551787,Positive
694551788,Positive
694551789,Positive
694551790,Positive
694551791,Neutral
694551792,Positive
694551793,Positive
694551794,Positive
694551795,Negative
694551796,Positive
694551797,Positive
694551798,Positive
694551799,Positive
694551800,Positive
694551801,Positive
694551802,Positive
694551803,Negative
694551804,Positive
694551805,Positive
694551806,Positive
694551807,Positive
694551808,Neutral
694551809,Positive
694551810,Positive
694551811,Neutral
694551812,Neutral
694551813,Positive
694551814,Positive
694551815,Positive
694551816,Positive
694551817,Positive
694551818,Neutral
694551819,Neutral
694551820,Positive
694551821,Positive
694551822,Positive
694551823,Positive
694551824,Positive
694551825,Positive
694551826,Positive
694551827,Positive
694551828,Positive
694551829,negative
694551830,Positive
694551831,Neutral
694551832,Positive
694551833,Positive
694551834,Positive
694551835,Positive
694551836,Positive
694551837,Positive
694551838,Positive
694551839,Positive
694551840,Positive
694551841,Neutral
694551842,Neutral
694551843,Positive
694551844,Neutral
694551845,Positive
694551846,Positive
694551847,Neutral
694551848,Neutral
694551849,Positive
694551850,Positive
694551851,Positive
694551852,Positive
694551853,Positive
694551854,Positive
694551855,Positive
694551856,Positive
694551857,Neutral
694551858,positive
694551859,Positive
694551860,Positive
694551861,Positive
694551862,Neutral
694551863,Neutral
694551864,Positive
694551865,Positive
694551866,Neutral
694551867,Neutral
694551868,Positive
694551869,Positive
694551870,Positive
694551871,Positive
694551872,Positive
694551873,Neutral
694551874,Negative
694551875,Positive
694551876,Positive
694551877,Positive
694551878,Positive
694551879,Positive
694551880,Positive
694551881,Positive
694551882,Positive
694551883,Positive
694551884,Neutral
694551885,Neutral
694551886,Neutral
694551887,Neutral
694551888,Positive
694551889,Positive
694551890,Neutral
694551891,Neutral
694551892,Negative
694551893,Positive
694551894,positive
694551895,Positive
694551896,Neutral
694551897,Negative
694551898,Positive
694551899,Positive
694551900,Neutral
694551901,Positive
694551902,Neutral
694551903,Positive
694551904,Positive
694551905,Negative
694551906,Positive
694551907,Positive
694551908,Neutral
694551909,Negative
694551910,Neutral
694551911,positive
694551912,Positive
694551913,Positive
694551914,Negative
694551915,Negative
694551916,Neutral
694551917,Positive
694551918,Positive
694551919,Positive
694551920,Neutral
694551921,Neutral
694551922,Positive
694551923,Positive
694551924,Positive
694551925,Positive
694551926,Positive
694551927,Positive
694551928,Positive
694551929,Negative
694551930,Positive
694551931,Neutral
694551932,Positive
694551933,Positive
694551934,Neutral
694551935,Neutral
694551936,Positive
694551937,Neutral
694551938,Positive
694551939,Neutral
694551940,Positive
694551941,Positive
694551942,Neutral
694551943,Neutral
694551944,Neutral
694551945,Negative
694551946,Positive
694551947,Positive
694551948,Neutral
694551949,Positive
694551950,Neutral
694551951,Positive
694551952,Negative
694551953,Positive
694551954,Positive
694551955,Neutral
694551956,Positive
694551957,Negative
694551958,Neutral
694551959,Positive
694551960,Positive
694551961,Positive
694551962,Neutral
694551963,Neutral
694551964,Positive
694551965,Positive
694551966,Negative
694551967,Neutral
694551968,Positive
694551969,Positive
694551970,Neutral
694551971,Positive
694551972,Negative
694551973,Positive
694551974,positive
694551975,Positive
694551976,Positive
694551977,Negative
694551978,Negative
694551979,Positive
694551980,Positive
694551981,Neutral
694551982,Negative
694551983,Positive
694551984,Neutral
694551985,Neutral
694551986,Positive
694551987,Positive
694551988,Neutral
694551989,Neutral
694551990,Positive
694551991,Positive
694551992,Positive
694551993,Positive
694551994,Negative
694551995,Positive
694551996,Negative
694551997,Positive
694551998,Negative
694551999,Neutral
694552000,Neutral
694552001,Positive
694552002,Negative
694552003,Neutral
694552004,Neutral
694552005,Positive
694552006,Negative
694552007,Positive
694552008,Neutral
694552009,Neutral
694552010,Positive
694552011,Positive
694552012,Negative
694552013,Positive
694552014,Neutral
694552015,Neutral
694552016,Positive
694552017,Positive
694552018,Neutral
694552019,Neutral
694552020,Positive
694552021,Positive
694552022,Positive
694552023,Positive
694552024,Positive
694552025,Positive
694552026,Neutral
694552027,Neutral
694552028,Negative
694552029,positive
694552030,Positive
694552031,Positive
694552032,Positive
694552033,Neutral
694552034,Positive
694552035,Positive
694552036,Neutral
694552037,Positive
694552038,Neutral
694552039,Neutral
694552040,Neutral
694552041,Positive
694552042,Neutral
694552043,Positive
694552044,Neutral
694552045,Positive
694552046,Negative
694552047,positive
694552048,Negative
694552049,Positive
694552050,Positive
694552051,Positive
694552052,Positive
694552053,Positive
694552054,Neutral
694552055,Positive
694552056,Positive
694552057,Positive
694552058,Neutral
694552059,Positive
694552060,Positive
694552061,Positive
694552062,Neutral
694552063,Positive
694552064,Positive
694552065,Positive
694552066,Positive
694552067,Neutral
694552068,Neutral
694552069,Neutral
694552070,Positive
694552071,Positive
694552072,Positive
694552073,Positive
694552074,Neutral
694552075,Positive
694552076,Neutral
694552077,Positive
694552078,Positive
694552079,Positive
694552080,Negative
694552081,Negative
694552082,Positive
694552083,Neutral
694552084,Positive
694552085,Positive
694552086,Positive
694552087,Positive
694552088,Positive
694552089,Neutral
694552090,Neutral
694552091,Positive
694552092,Positive
694552093,Positive
694552094,Neutral
694552095,Positive
694552096,Positive
694552097,Negative
694552098,Neutral
694552099,Positive
694552100,Negative
694552101,Positive
694552102,Positive
694552103,Positive
694552104,Neutral
694552105,Positive
694552106,Neutral
694552107,Positive
694552108,Negative
694552109,Neutral
694552110,negative
694552111,positive
694552112,Positive
694552113,Positive
694552114,Positive
694552115,Positive
694552116,Positive
694552117,Positive
694552118,Positive
694552119,Neutral
694552120,Positive
694552121,Negative
694552122,Positive
694552123,Neutral
694552124,Neutral
694552125,Neutral
694552126,Positive
694552127,Neutral
694552128,Positive
694552129,Positive
694552130,Positive
694552131,Positive
694552132,Positive
694552133,Positive
694552134,Positive
694552135,Positive
694552136,Positive
694552137,Neutral
694552138,Neutral
694552139,Positive
694552140,Positive
694552141,Positive
694552142,Positive
694552143,Neutral
694552144,Positive
694552145,Neutral
694552146,Positive
694552147,Positive
694552148,Positive
694552149,Negative
694552150,Neutral
694552151,Neutral
694552152,Neutral
694552153,positive
694552154,Neutral
694552155,Positive
694552156,Positive
694552157,Positive
694552158,Positive
694552159,Neutral
694552160,Positive
694552161,Positive
694552162,Negative
694552163,Neutral
694552164,Neutral
694552165,Neutral
694552166,Positive
694552167,Positive
694552168,Positive
694552169,Neutral
694552170,Neutral
694552171,Positive
694552172,Positive
694552173,Negative
694552174,Neutral
694552175,Positive
694552176,Positive
694552177,Neutral
694552178,Positive
694552179,Neutral
694552180,Positive
694552181,Positive
694552182,Positive
694552183,Neutral
694552184,Positive
694552185,Neutral
694552186,Neutral
694552187,Negative
694552188,Positive
694552189,Neutral
694552190,Positive
694552191,Positive
694552192,Neutral
694552193,Positive
694552194,Negative
694552195,Positive
694552196,Neutral
694552197,Positive
694552198,Neutral
694552199,Neutral
694552200,Positive
694552201,Positive
694552202,Positive
694552203,Neutral
694552204,Positive
694552205,Positive
694552206,Positive
694552207,Positive
694552208,Positive
694552209,Negative
694552210,Positive
694552211,Positive
694552212,Positive
694552213,Positive
694552214,Positive
694552215,Positive
694552216,Neutral
694552217,Neutral
694552218,Neutral
694552219,Neutral
694552220,Positive
694552221,Positive
694552222,Negative
694552223,Neutral
694552224,Positive
694552225,Positive
694552226,Neutral
694552227,Negative
694552228,Negative
694552229,Neutral
694552230,Neutral
694552231,Neutral
694552232,Positive
694552233,Negative
694552234,Negative
694552235,Positive
694552236,Positive
694552237,Neutral
694552238,Positive
694552239,Positive
694552240,Positive
694552241,Positive
694552242,Neutral
694552243,Negative
694552244,Neutral
694552245,Negative
694552246,Neutral
694552247,Neutral
694552248,Neutral
694552249,Positive
694552250,Positive
694552251,Neutral
694552252,Neutral
694552253,Positive
694552254,Negative
694552255,Neutral
694552256,Neutral
694552257,Negative
694552258,Neutral
694552259,Negative
694552260,Positive
694552261,Positive
694552262,Positive
694552263,Positive
694552264,Negative
694552265,Negative
694552266,Negative
694552267,negative
694552268,Negative
694552269,Negative
694552270,Positive
694552271,Positive
694552272,Negative
694552273,Negative
694552274,Neutral
694552275,Negative
694552276,Neutral
694552277,Positive
694552278,Positive
694552279,Neutral
694552280,Neutral
694552281,Negative
694552282,Negative
694552283,Positive
694552284,Positive
694552285,Neutral
694552286,Neutral
694552287,negative
694552288,Neutral
694552289,Positive
694552290,Neutral
694552291,Negative
694552292,Neutral
694552293,Neutral
694552294,Neutral
694552295,Positive
694552296,Positive
694552297,Positive
694552298,Positive
694552299,Positive
694552300,Neutral
694552301,Positive
694552302,Neutral
694552303,Positive
694552304,Positive
694552305,Negative
694552306,Neutral
694552307,Neutral
694552308,Positive
694552309,Positive
694552310,Neutral
694552311,Positive
694552312,Positive
694552313,Positive
694552314,Neutral
694552315,Neutral
694552316,Neutral
694552317,Neutral
694552318,Negative
694552319,Positive
694552320,Positive
694552321,positive
694552322,Positive
694552323,Positive
694552324,Positive
694552325,Positive
694552326,Positive
694552327,Neutral
694552328,Positive
694552329,Positive
694552330,Positive
694552331,Neutral
694552332,Negative
694552333,Neutral
694552334,Positive
694552335,Positive
694552336,Positive
694552337,Positive
694552338,Negative
694552339,Positive
694552340,Positive
694552341,Positive
694552342,Positive
694552343,Positive
694552344,Positive
694552345,Positive
694552346,Positive
694552347,Positive
694552348,Positive
694552349,Neutral
694552350,Neutral
694552351,Negative
694552352,Neutral
694552353,Positive
694552355,Positive
694552356,Positive
694552357,Positive
694552358,Positive
694552359,Positive
694552360,Positive
694552361,Positive
694552362,Positive
694552363,Positive
694552364,Positive
694552365,Positive
694552366,Neutral
694552367,Neutral
694552368,Positive
694552369,Neutral
694552370,Positive
694552371,Neutral
694552372,Positive
694552373,Positive
694552374,Positive
694552375,Positive
694552376,Positive
694552377,Positive
694552378,Positive
694552379,Neutral
694552380,Positive
694552381,Positive
694552382,Neutral
694552383,Negative
694552384,Positive
694552385,Positive
694552386,Positive
694552387,Positive
694552388,Positive
694552389,Negative
694552390,Negative
694552391,Positive
694552392,Neutral
694552393,Negative
694552394,Positive
694552395,Neutral
694552396,Neutral
694552397,Negative
694552398,Negative
694552399,Neutral
694552400,Positive
694552401,Negative
694552402,Neutral
694552403,Positive
694552404,Negative
694552405,Positive
694552406,Neutral
694552407,Positive
694552408,Neutral
694552409,Positive
694552410,Positive
694552411,Positive
694552412,Positive
694552413,Positive
694552414,Positive
694552415,Positive
694552416,Positive
694552417,Neutral
694552418,Positive
694552419,Positive
694552420,Neutral
694552421,Neutral
694552422,Neutral
694552423,Neutral
694552424,Positive
694552425,Negative
694552426,Positive
694552427,Negative
694552428,Positive
694552429,Positive
694552430,Neutral
694552431,Positive
694552432,Positive
694552433,Positive
694552434,Positive
694552435,Positive
694552436,Positive
694552437,Positive
694552438,Positive
694552439,Positive
694552440,Positive
694552441,Neutral
694552442,Positive
694552443,Negative
694552444,positive
694552445,Positive
694552446,Neutral
694552447,positive
694552448,Neutral
694552449,Positive
694552450,positive
694552451,Positive
694552452,positive
694552453,Positive
694552454,positive
694552455,Neutral
694552456,Positive
694552457,Positive
694552458,Positive
694552459,Neutral
694552460,Positive
694552461,Neutral
694552462,Neutral
694552463,Positive
694552464,Positive
694552465,Positive
694552466,Neutral
694552467,Neutral
694552468,Positive
694552469,Positive
694552470,Positive
694552471,Positive
694552472,Positive
694552473,Neutral
694552474,Neutral
